ID,Sample,CL,PL,Loai I,Loai II,Loai III,Loai IV,Loai V,Loai VI,Loai VII,Loai,Result
398,YCB03054,4,2,3,3,3,0,3,4,2,2,0
399,YCB04055,3,3,2,3,2,0,3,3,2,1,0
400,YCB04056,3,3,2,3,2,0,3,3,2,1,0
401,YCB04057,3,3,2,2,2,0,2,3,2,1,0
402,YCB04058,4,3,2,3,2,0,3,4,2,1,0
403,YCB04059,3,3,2,2,2,0,2,3,2,1,1
404,YCB04060,2,3,1,2,2,0,2,2,1,1,1
405,YCB05061,3,3,2,2,2,2,2,3,2,2,1
406,YCB05062,4,2,2,4,2,0,4,4,2,1,1
407,YCB05063,4,2,3,3,3,2,3,4,2,2,0
408,YCB05064,4,3,2,3,2,0,3,4,2,1,1
409,YCB05065,3,3,2,2,2,0,2,3,2,1,1
410,YCB06067,3,3,2,2,2,2,2,3,2,1,0
411,YCB06068,4,2,3,4,2,3,4,4,2,2,0
412,YCB06069,3,3,2,2,2,0,2,3,2,1,1
413,YCB06070,4,2,3,3,2,2,3,4,2,1,0
414,YCB06071,2,3,2,2,1,2,2,2,1,1,1
415,YCB07097,3,3,2,3,2,0,3,3,2,1,1
416,YCB07098,3,3,2,2,2,1,2,3,2,1,1
417,YCB07099,3,3,2,3,2,0,3,3,2,1,1
418,YCB07100,3,3,2,3,2,0,3,3,2,1,1
419,YCB07101,4,3,3,3,2,0,3,4,2,1,0
420,YCB07102,3,3,2,3,2,0,3,3,2,1,1
421,YCB08103,3,3,2,2,2,0,2,3,2,1,1
422,YCB08104,3,3,2,2,2,1,2,3,2,1,1
423,YCB08105,2,3,2,2,2,0,2,2,1,1,1
424,YCB08106,3,3,2,3,2,0,3,2,2,1,0
425,YCB08107,3,3,3,2,3,0,2,2,2,1,1
426,YCB08108,3,3,1,2,1,0,2,3,2,1,1
427,YCB10114,3,3,2,2,2,0,2,3,2,1,1
428,YCB11120,3,3,3,3,2,0,2,3,2,1,1
429,YCB12123,4,3,3,3,2,0,4,4,2,2,0
430,YCB12124,3,3,3,3,2,0,3,3,2,2,0
